Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 10000 | Area: 0.941375
N: 10050 | Area: 0.94092
N: 10100 | Area: 0.941584
N: 10150 | Area: 0.926601
N: 10200 | Area: 0.928676
N: 10250 | Area: 0.941585
N: 10300 | Area: 0.941141
N: 10350 | Area: 0.94372
N: 10400 | Area: 0.938582
N: 10450 | Area: 0.944617
N: 10500 | Area: 0.935952
N: 10550 | Area: 0.946209
N: 10600 | Area: 0.949882
N: 10650 | Area: 0.942254
N: 10700 | Area: 0.939019
N: 10750 | Area: 0.94407
N: 10800 | Area: 0.956366
N: 10850 | Area: 0.938825
N: 10900 | Area: 0.939335
N: 10950 | Area: 0.946233
N: 11000 | Area: 0.943182
N: 11050 | Area: 0.941742
N: 11100 | Area: 0.941667
N: 11150 | Area: 0.940022
N: 11200 | Area: 0.949107
N: 11250 | Area: 0.941333
N: 11300 | Area: 0.945575
N: 11350 | Area: 0.945264
N: 11400 | Area: 0.944518
N: 11450 | Area: 0.942576
N: 11500 | Area: 0.955109
N: 11550 | Area: 0.942208
N: 11600 | Area: 0.951401
N: 11650 | Area: 0.948176
N: 11700 | Area: 0.949679
N: 11750 | Area: 0.948404
N: 11800 | Area: 0.943114
N: 11850 | Area: 0.948207
N: 11900 | Area: 0.942437
N: 11950 | Area: 0.941527
N: 12000 | Area: 0.944167
N: 12050 | Area: 0.946473
N: 12100 | Area: 0.942355
N: 12150 | Area: 0.946914
N: 12200 | Area: 0.946824
N: 12250 | Area: 0.940204
N: 12300 | Area: 0.939837
N: 12350 | Area: 0.937449
N: 12400 | Area: 0.947782
N: 12450 | Area: 0.946285
N: 12500 | Area: 0.9481
N: 12550 | Area: 0.944522
N: 12600 | Area: 0.94504
N: 12650 | Area: 0.946542
N: 12700 | Area: 0.947835
N: 12750 | Area: 0.940392
N: 12800 | Area: 0.944043
N: 12850 | Area: 0.956226
N: 12900 | Area: 0.947481
N: 12950 | Area: 0.946718
N: 13000 | Area: 0.948654
N: 13050 | Area: 0.945977
N: 13100 | Area: 0.944275
N: 13150 | Area: 0.943821
N: 13200 | Area: 0.944318
N: 13250 | Area: 0.938396
N: 13300 | Area: 0.949436
N: 13350 | Area: 0.936985
N: 13400 | Area: 0.943377
N: 13450 | Area: 0.946004
N: 13500 | Area: 0.941574
N: 13550 | Area: 0.942343
N: 13600 | Area: 0.948897
N: 13650 | Area: 0.943315
N: 13700 | Area: 0.943248
N: 13750 | Area: 0.946455
N: 13800 | Area: 0.944837
N: 13850 | Area: 0.94269
N: 13900 | Area: 0.941007
N: 13950 | Area: 0.942384
N: 14000 | Area: 0.949286
N: 14050 | Area: 0.947331
N: 14100 | Area: 0.945213
N: 14150 | Area: 0.937633
N: 14200 | Area: 0.941461
N: 14250 | Area: 0.944298
N: 14300 | Area: 0.949213
N: 14350 | Area: 0.952787
N: 14400 | Area: 0.942014
N: 14450 | Area: 0.944983
N: 14500 | Area: 0.940948
N: 14550 | Area: 0.944588
N: 14600 | Area: 0.951798
N: 14650 | Area: 0.941382
N: 14700 | Area: 0.952891
N: 14750 | Area: 0.946186
N: 14800 | Area: 0.946284
N: 14850 | Area: 0.946886
N: 14900 | Area: 0.942869
N: 14950 | Area: 0.945736
N: 15000 | Area: 0.94125
N: 15050 | Area: 0.943355
N: 15100 | Area: 0.945613
N: 15150 | Area: 0.939109
N: 15200 | Area: 0.936513
N: 15250 | Area: 0.936885
N: 15300 | Area: 0.945343
N: 15350 | Area: 0.948779
N: 15400 | Area: 0.947321
N: 15450 | Area: 0.94377
N: 15500 | Area: 0.946532
N: 15550 | Area: 0.948232
N: 15600 | Area: 0.940785
N: 15650 | Area: 0.948802
N: 15700 | Area: 0.943471
N: 15750 | Area: 0.951032
N: 15800 | Area: 0.940348
N: 15850 | Area: 0.946609
N: 15900 | Area: 0.944104
N: 15950 | Area: 0.942868
N: 16000 | Area: 0.945703
N: 16050 | Area: 0.936293
N: 16100 | Area: 0.94309
N: 16150 | Area: 0.947678
N: 16200 | Area: 0.943904
